PROVINCIA;CAMPAÑA;DISTRITO;RDTO_KG/HA
AZANGARO;1996/1997;ACHAYA;6602.78
AZANGARO;1997/1998;ACHAYA;7343.75
AZANGARO;1998/1999;ACHAYA;7950.77
AZANGARO;1999/2000;ACHAYA;7890.91
AZANGARO;2000/2001;ACHAYA;6613.11
AZANGARO;2001/2002;ACHAYA;9223.35
AZANGARO;2002/2003;ACHAYA;10324.68
AZANGARO;2003/2004;ACHAYA;9983.33
AZANGARO;2004/2005;ACHAYA;8653.33
AZANGARO;2005/2006;ACHAYA;11167.01
AZANGARO;2006/2007;ACHAYA;9264.86
AZANGARO;2007/2008;ACHAYA;7903.92
AZANGARO;2008/2009;ACHAYA;10954.86
AZANGARO;2009/2010;ACHAYA;11618.52
AZANGARO;2010/2011;ACHAYA;11678.69
AZANGARO;2011/2012;ACHAYA;8051.67
AZANGARO;2012/2013;ACHAYA;11858.91
AZANGARO;2013/2014;ACHAYA;9698.57
AZANGARO;2014/2015;ACHAYA;12750.67
AZANGARO;2015/2016;ACHAYA;10585.53
AZANGARO;2016/2017;ACHAYA;11887.65
AZANGARO;2017/2018;ACHAYA;12681.25
AZANGARO;1996/1997;ARAPA;5371.75
AZANGARO;1997/1998;ARAPA;5531.03
AZANGARO;1998/1999;ARAPA;7643.33
AZANGARO;1999/2000;ARAPA;8540
AZANGARO;2000/2001;ARAPA;8323.66
AZANGARO;2001/2002;ARAPA;9476.27
AZANGARO;2002/2003;ARAPA;9674.1
AZANGARO;2003/2004;ARAPA;8013.29
AZANGARO;2004/2005;ARAPA;8733.33
AZANGARO;2005/2006;ARAPA;9060.32
AZANGARO;2006/2007;ARAPA;8150.77
AZANGARO;2007/2008;ARAPA;7001.59
AZANGARO;2008/2009;ARAPA;7300
AZANGARO;2009/2010;ARAPA;7918.25
AZANGARO;2010/2011;ARAPA;8689.71
AZANGARO;2011/2012;ARAPA;9483.92
AZANGARO;2012/2013;ARAPA;8957.36
AZANGARO;2013/2014;ARAPA;8557.57
AZANGARO;2014/2015;ARAPA;10157.33
AZANGARO;2015/2016;ARAPA;10144.87
AZANGARO;2016/2017;ARAPA;10756.1
AZANGARO;2017/2018;ARAPA;11143.53
AZANGARO;1996/1997;ASILLO;5398.86
AZANGARO;1997/1998;ASILLO;5475.71
AZANGARO;1998/1999;ASILLO;7913.89
AZANGARO;1999/2000;ASILLO;8468
AZANGARO;2000/2001;ASILLO;8849.76
AZANGARO;2001/2002;ASILLO;10198.55
AZANGARO;2002/2003;ASILLO;10383.19
AZANGARO;2003/2004;ASILLO;9200
AZANGARO;2004/2005;ASILLO;9090
AZANGARO;2005/2006;ASILLO;8704.29
AZANGARO;2006/2007;ASILLO;8468
AZANGARO;2007/2008;ASILLO;7031.72
AZANGARO;2008/2009;ASILLO;7506.67
AZANGARO;2009/2010;ASILLO;8050.65
AZANGARO;2010/2011;ASILLO;9377.78
AZANGARO;2011/2012;ASILLO;9560.33
AZANGARO;2012/2013;ASILLO;9480.72
AZANGARO;2013/2014;ASILLO;9367.27
AZANGARO;2014/2015;ASILLO;11028.21
AZANGARO;2015/2016;ASILLO;10297.53
AZANGARO;2016/2017;ASILLO;10726.14
AZANGARO;2017/2018;ASILLO;10854.84
AZANGARO;1996/1997;AZANGARO;5375
AZANGARO;1997/1998;AZANGARO;5568.24
AZANGARO;1998/1999;AZANGARO;7576.54
AZANGARO;1999/2000;AZANGARO;8596.67
AZANGARO;2000/2001;AZANGARO;8819.17
AZANGARO;2001/2002;AZANGARO;9776.34
AZANGARO;2002/2003;AZANGARO;10370.03
AZANGARO;2003/2004;AZANGARO;9100.79
AZANGARO;2004/2005;AZANGARO;9843.62
AZANGARO;2005/2006;AZANGARO;9240.21
AZANGARO;2006/2007;AZANGARO;9248.21
AZANGARO;2007/2008;AZANGARO;6637.63
AZANGARO;2008/2009;AZANGARO;7900.5
AZANGARO;2009/2010;AZANGARO;8789.16
AZANGARO;2010/2011;AZANGARO;9735.71
AZANGARO;2011/2012;AZANGARO;9725.06
AZANGARO;2012/2013;AZANGARO;9475.5
AZANGARO;2013/2014;AZANGARO;9228.84
AZANGARO;2014/2015;AZANGARO;10955.79
AZANGARO;2015/2016;AZANGARO;10377.55
AZANGARO;2016/2017;AZANGARO;10660.34
AZANGARO;2017/2018;AZANGARO;10627.52
AZANGARO;1996/1997;CAMINACA;6606.76
AZANGARO;1997/1998;CAMINACA;5903.61
AZANGARO;1998/1999;CAMINACA;7961.9
AZANGARO;1999/2000;CAMINACA;7735.71
AZANGARO;2000/2001;CAMINACA;6897.3
AZANGARO;2001/2002;CAMINACA;8587.14
AZANGARO;2002/2003;CAMINACA;10330.61
AZANGARO;2003/2004;CAMINACA;10232.74
AZANGARO;2004/2005;CAMINACA;9670.59
AZANGARO;2005/2006;CAMINACA;9987.27
AZANGARO;2006/2007;CAMINACA;8873.33
AZANGARO;2007/2008;CAMINACA;8220
AZANGARO;2008/2009;CAMINACA;9897.78
AZANGARO;2009/2010;CAMINACA;11575.71
AZANGARO;2010/2011;CAMINACA;12146.67
AZANGARO;2011/2012;CAMINACA;10588.92
AZANGARO;2012/2013;CAMINACA;11620.51
AZANGARO;2013/2014;CAMINACA;10172.97
AZANGARO;2014/2015;CAMINACA;12795.77
AZANGARO;2015/2016;CAMINACA;10677.65
AZANGARO;2016/2017;CAMINACA;11033.68
AZANGARO;2017/2018;CAMINACA;12931.91
AZANGARO;1996/1997;CHUPA;5374.52
AZANGARO;1997/1998;CHUPA;5587.27
AZANGARO;1998/1999;CHUPA;7896
AZANGARO;1999/2000;CHUPA;8607.27
AZANGARO;2000/2001;CHUPA;8866.03
AZANGARO;2001/2002;CHUPA;10022.64
AZANGARO;2002/2003;CHUPA;10147.12
AZANGARO;2003/2004;CHUPA;8328.36
AZANGARO;2004/2005;CHUPA;10587.27
AZANGARO;2005/2006;CHUPA;9924.07
AZANGARO;2006/2007;CHUPA;9829.36
AZANGARO;2007/2008;CHUPA;7299.01
AZANGARO;2008/2009;CHUPA;7405
AZANGARO;2009/2010;CHUPA;9663.93
AZANGARO;2010/2011;CHUPA;9076.67
AZANGARO;2011/2012;CHUPA;9353.13
AZANGARO;2012/2013;CHUPA;9842.02
AZANGARO;2013/2014;CHUPA;9201.54
AZANGARO;2014/2015;CHUPA;10930.3
AZANGARO;2015/2016;CHUPA;10877.94
AZANGARO;2016/2017;CHUPA;10854.86
